"id","temp_humidity","temp_pressure","pressure","humidity","pitch","roll","yaw","compass_x","compass_y","compass_z","acc_x","acc_y","acc_z","gyro_x","gyro_y","gyro_z","capture_time","capture_timestamp","status","comment"
"38","36.7912","36.7833","1013.1","34.9015","104.884","0.932513","358.249","-18.7456","-5.70338","-27.0768","0.0155387","0.0312755","0.999157","-0.00477218","-0.00425236","0.00186541","2015-12-08 14:51:59","1449557519132","Synced","Still"
"39","36.8812","36.7833","1013.1","34.8019","104.555","0.876422","358.209","-18.5349","-5.56074","-27.0161","0.0167527","0.0312755","0.999157","-0.00894651","-0.00480847","0.00364744","2015-12-08 14:51:59","1449557519342","Synced","Still"
"40","36.8452","36.7875","1013.1","34.8843","104.877","0.960344","358.249","-18.5028","-5.63602","-27.1814","0.0169955","0.0317604","0.999401","-0.00657381","-0.000669289","0.00153559","2015-12-08 14:51:59","1449557519547","Synced","Still"
"41","36.9532","36.7938","1013.09","34.6438","104.947","1.00136","358.181","-18.3814","-5.6509","-27.0307","0.0172383","0.0329726","0.999157","-0.0062333","-0.00268148","0.00150026","2015-12-08 14:51:59","1449557519747","Synced","Still"
"42","36.9712","36.7833","1013.09","34.9531","104.539","0.862933","358.111","-18.6053","-5.6201","-26.9446","0.0169955","0.0322453","0.999401","-0.0054129","-0.00394273","0.00303187","2015-12-08 14:51:59","1449557519988","Synced","Still"
"43","36.9352","36.7854","1013.09","35.314","104.905","0.946659","358.207","-18.5128","-5.66742","-27.0838","0.0162671","0.0317604","0.999401","-0.00805991","-0.000934433","0.00303692","2015-12-08 14:52:00","1449557520201","Synced","Still"
"44","36.8632","36.7896","1013.09","35.1696","104.904","0.918597","358.152","-18.4306","-5.68234","-27.3528","0.0167527","0.0307906","0.999401","-0.00626804","-0.00213067","0.00242656","2015-12-08 14:52:00","1449557520470","Synced","Still"
"45","36.8632","36.7938","1013.09","34.6094","105.234","0.890548","358.167","-18.4792","-5.80655","-27.4683","0.0150531","0.0324878","0.999401","-0.00802525","-0.00182087","0.00333209","2015-12-08 14:52:00","1449557520684","Synced","Still"
"46","36.8452","36.7896","1013.09","34.7606","105.141","0.876849","358.18","-18.5116","-5.76671","-27.0277","0.0169955","0.0320029","0.999401","-0.00773984","-0.0042278","0.00153003","2015-12-08 14:52:00","1449557520889","Synced","Still"
"47","36.7372","36.7833","1013.09","34.8328","105.207","0.973784","358.209","-18.6618","-5.81488","-27.4137","0.0165099","0.031518","0.999157","-0.00716465","-0.00153503","0.00392242","2015-12-08 14:52:01","1449557521089","Synced","Still"
"48","36.7732","36.7792","1013.09","35.0115","104.797","0.946428","358.152","-18.5425","-5.67173","-27.315","0.0157815","0.031518","0.999401","-0.0071993","-0.00248581","0.00156023","2015-12-08 14:52:01","1449557521302","Synced","Still"
"49","36.8092","36.7938","1013.09","35.2796","105.183","0.988174","358.138","-18.622","-5.82112","-27.1554","0.0155387","0.031518","1.00038","-0.00659887","-0.0021157","0.00272627","2015-12-08 14:52:01","1449557521526","Synced","Still"
"50","36.9172","36.7896","1013.09","34.4822","105.452","0.918597","358.152","-18.3275","-5.83428","-27.1991","0.0160243","0.031518","0.999644","-0.00686889","-0.00161039","0.0012299","2015-12-08 14:52:01","1449557521761","Synced","Still"
"51","36.8632","36.7854","1013.09","34.4822","104.999","0.960344","358.194","-18.3204","-5.65131","-27.0524","0.0160243","0.0295784","0.999401","-0.00775456","-0.00294191","0.00210103","2015-12-08 14:52:01","1449557521993","Synced","Still"
"52","36.8812","36.7833","1013.08","34.6987","105.446","0.890765","358.249","-18.56","-5.85701","-27.3485","0.0160243","0.0312755","0.999401","-0.0062481","-0.00175038","0.0027314","2015-12-08 14:52:02","1449557522200","Synced","Still"
"53","36.8272","36.7896","1013.08","34.8328","105.004","0.932286","358.125","-18.5115","-5.74402","-27.1682","0.0157815","0.0307906","0.999401","-0.00812552","-0.00304158","0.00245608","2015-12-08 14:52:02","1449557522412","Synced","Still"
"54","36.8092","36.7917","1013.08","35.0218","104.549","0.974259","358.152","-18.3015","-5.51995","-27.2438","0.0157815","0.0305482","0.999401","-0.00447188","-0.00126014","0.00240654","2015-12-08 14:52:02","1449557522631","Synced","Still"
"55","36.7732","36.7833","1013.09","34.5578","104.665","0.904681","358.208","-18.4846","-5.57588","-26.806","0.0165099","0.0324878","0.999401","-0.00805015","-0.00237587","0.00244111","2015-12-08 14:52:02","1449557522836","Synced","Still"
"56","36.9352","36.7938","1013.09","35.3724","105.492","1.17924","358.421","-18.713","-5.79581","-27.3548","0.0106829","0.0349122","0.996233","-0.00132371","0.00286892","0.00509864","2015-12-08 14:52:03","1449557523041","Synced","Still"
"57","36.7732","36.7875","1013.1","35.1971","105.187","0.96011","358.18","-18.3696","-5.73675","-27.1473","0.0148103","0.0327302","0.998913","-0.00805999","-0.00300137","0.00242605","2015-12-08 14:52:03","1449557523240","Synced","Still"
"58","36.9172","36.7896","1013.1","34.3688","104.361","0.918597","358.249","-18.5258","-5.47082","-27.0988","0.0172383","0.0322453","0.999157","-0.00657885","-0.00240641","0.00152019","2015-12-08 14:52:03","1449557523446","Synced","Still"
"59","36.7552","36.7896","1013.09","36.3279","104.926","0.904681","358.194","-18.2906","-5.62386","-26.9832","0.0152959","0.0322453","0.999644","-0.00504237","-0.00182062","0.00332233","2015-12-08 14:52:03","1449557523651","Synced","Still"
"60","36.7552","36.7854","1013.07","35.3518","105.001","0.932513","358.152","-18.4516","-5.7092","-27.0077","0.0155387","0.0307906","0.999401","-0.00566315","-0.00330193","0.00306686","2015-12-08 14:52:03","1449557523858","Synced","Still"
"61","36.8992","36.7875","1013.06","36.6717","105.409","0.974259","358.249","-18.2179","-5.73163","-27.0348","0.0162671","0.0307906","0.999401","-0.00631363","-0.00334188","0.00183555","2015-12-08 14:52:04","1449557524064","Synced","Still"
"62","36.8272","36.7958","1013.05","34.8775","105.545","0.918597","358.208","-18.7113","-5.94615","-27.2061","0.0155387","0.031518","0.999401","-0.00717424","-0.00394726","0.00396246","2015-12-08 14:52:04","1449557524276","Synced","Still"
"63","36.8272","36.7833","1013.05","35.0803","105.09","1.00233","358.11","-18.7136","-5.82261","-27.0259","0.0165099","0.031518","0.999157","-0.00625836","-0.00123482","0.00180073","2015-12-08 14:52:04","1449557524521","Synced","Still"
"64","36.8992","36.7938","1013.08","35.0975","105.669","0.904681","358.222","-18.6597","-5.97303","-27.3564","0.0157815","0.0324878","0.999401","-0.00688378","-0.00272647","0.00425241","2015-12-08 14:52:04","1449557524733","Synced","Still"
"65","36.9172","36.7854","1013.09","36.3623","104.61","0.918373","358.153","-18.6854","-5.64399","-27.1429","0.0152959","0.0310331","0.999401","-0.00772504","-0.00207061","0.00484872","2015-12-08 14:52:04","1449557524947","Synced","Still"
"66","36.8272","36.7896","1013.09","35.6268","105.009","1.0165","358.304","-18.7166","-5.69268","-26.6897","0.0148103","0.0317604","0.998913","-0.00565802","-0.000899445","0.00304154","2015-12-08 14:52:05","1449557525147","Synced","Still"
"67","36.8812","39.6437","1013.09","34.2175","105.178","1.016","358.305","-18.4509","-5.69291","-27.3041","0.0167527","0.0327302","0.999401","-0.00595285","-0.00209534","0.00356728","2015-12-08 14:52:05","1449557525351","Synced","Still"
"68","36.7912","36.7938","1013.09","36.2867","104.989","0.904681","358.166","-18.4114","-5.69064","-26.9867","0.014082","0.0322453","0.999401","-0.00564263","-0.00359701","0.00336211","2015-12-08 14:52:05","1449557525558","Synced","Still"
"69","36.8812","36.7896","1013.09","34.4341","105.045","0.905123","358.165","-18.4715","-5.72758","-27.0503","0.0155387","0.0327302","0.999644","-0.00628343","-0.00160493","0.00275151","2015-12-08 14:52:05","1449557525758","Synced","Still"
